Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.6891687448480539,2.202188770722233,1.7179876817614332,0.8507185347944495
Ridge Regression,0.6865398511758367,2.2114818044007136,1.7276669019424749,0.8507185347944494
Random Forest,0.5803503279829458,2.5587959032635386,2.0393799812583593,0.7679756788778481
Gradient Boosting,0.42960172609084213,2.983192675310206,2.3881735484087363,0.6705717070623937
KNN Regression,0.592050573964423,2.522872866396561,2.076875,0.7715606292217679
SVR,0.6952171844829278,2.1806574075027325,1.7767400840628234,0.8649400574681061
