Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.42922285961536,2.442111309009892,1.8576743634137047,0.7025662612866188
Ridge Regression,0.4341898472275164,2.4314622830267156,1.8504329637948116,0.7025662612866189
Random Forest,0.3036709388954991,2.6973632082490586,2.2391408340610814,0.6554927640444682
Gradient Boosting,0.12104667791925194,3.030505489863237,2.570488888540015,0.5703750342113829
KNN Regression,0.2521820791960758,2.7953108056171505,2.2468750000000006,0.6482266661411343
SVR,0.4222442561474994,2.4569951828562497,1.8957910812660619,0.6948699490237152
