minute_of_day,IdentiCool Temperature Sensor 2,Thermocouple TA 37C
565.0,5.2,5.074999999999999
565.0,6.6,5.074999999999999
575.0,8.3,5.525
575.0,4.9,5.525
585.0,5.0,5.5
585.0,9.6,5.5
595.0,10.8,5.275
595.0,5.8,5.275
605.0,6.7,5.300000000000001
605.0,11.7,5.300000000000001
615.0,12.7,5.85
615.0,7.7,5.85
625.0,8.6,6.025
625.0,13.3,6.025
635.0,11.2,6.800000000000001
635.0,9.5,6.800000000000001
645.0,9.7,7.175000000000001
645.0,9.2,7.175000000000001
655.0,8.6,7.950000000000001
655.0,9.0,7.950000000000001
665.0,8.0,8.35
665.0,10.3,8.35
669.0,4.2,8.174999999999999
675.0,7.6,8.325
675.0,11.7,8.325
679.0,4.1,8.15
685.0,8.2,8.2
685.0,12.7,8.2
689.0,4.1,8.175
695.0,9.1,8.075000000000001
695.0,13.7,8.075000000000001
699.0,4.6,8.1
705.0,9.9,8.175
705.0,14.9,8.175
709.0,6.5,8.525
715.0,15.3,8.549999999999999
715.0,10.7,8.549999999999999
719.0,8.2,8.825000000000001
725.0,13.3,8.950000000000001
725.0,11.5,8.950000000000001
729.0,9.7,9.35
735.0,11.8,9.7
735.0,11.3,9.7
739.0,11.0,9.75
745.0,11.0,10.0
745.0,9.9,10.0
749.0,12.1,10.124999999999998
755.0,10.0,10.275
755.0,11.6,10.275
759.0,12.2,10.35
765.0,13.1,10.475000000000001
765.0,9.3,10.475000000000001
769.0,11.0,10.25
775.0,14.1,10.1
775.0,9.8,10.1
779.0,9.4,10.200000000000001
785.0,10.6,10.225
785.0,15.2,10.225
789.0,9.0,9.975000000000001
795.0,16.3,10.2
795.0,11.4,10.2
799.0,10.3,10.05
805.0,16.9,10.275
805.0,12.2,10.275
809.0,11.8,10.5
815.0,14.8,10.875
815.0,13.0,10.875
819.0,12.9,11.15
825.0,13.3,11.175
825.0,12.8,11.175
829.0,14.0,11.600000000000001
835.0,12.6,11.95
835.0,11.4,11.95
839.0,15.2,11.975
845.0,13.1,12.099999999999998
845.0,11.6,12.099999999999998
849.0,15.8,12.274999999999999
855.0,11.0,12.274999999999999
855.0,14.6,12.274999999999999
859.0,14.3,12.0
865.0,11.5,12.100000000000001
865.0,15.6,12.100000000000001
869.0,12.5,12.05
875.0,16.7,11.725
875.0,12.2,11.725
879.0,11.3,11.924999999999999
885.0,17.8,12.0
885.0,12.9,12.0
889.0,12.4,12.024999999999999
895.0,18.3,12.2
895.0,13.7,12.2
899.0,13.8,12.35
905.0,14.5,12.65
905.0,16.3,12.65
909.0,14.9,12.575
915.0,14.3,13.075000000000001
915.0,14.8,13.075000000000001
919.0,16.0,13.25
925.0,12.9,13.35
925.0,14.1,13.35
929.0,17.2,13.6
935.0,14.7,13.825000000000001
935.0,13.1,13.825000000000001
939.0,17.8,13.899999999999999
945.0,16.0,13.774999999999999
945.0,12.6,13.774999999999999
949.0,16.3,13.874999999999998
955.0,17.1,13.75
955.0,13.1,13.75
959.0,14.4,13.4
965.0,18.3,13.525
965.0,13.8,13.525
969.0,13.4,13.275
975.0,19.5,13.325
975.0,14.6,13.325
979.0,14.6,13.425
985.0,20.0,13.75
985.0,15.4,13.75
989.0,16.0,13.875
995.0,16.2,14.25
999.0,17.1,14.225000000000001
1005.0,16.6,14.649999999999999
1009.0,18.2,14.875
1019.0,19.5,15.0
1029.0,20.0,15.674999999999999
1039.0,18.2,15.375
