minute_of_day,core_temperature,ambient_temperature
560.1666666666666,4.9,4.4
561.1666666666666,4.85,4.4
562.1666666666666,4.95,4.4
563.1666666666666,5.0249999999999995,4.4
564.1666666666666,4.925,4.4
565.1666666666666,5.074999999999999,4.4
566.1666666666666,5.3,4.4
567.1666666666666,5.300000000000001,4.4
568.1666666666666,5.2,4.4
569.1666666666666,5.325,4.4
570.1666666666666,5.300000000000001,4.4
571.1666666666666,5.45,4.4
572.1666666666666,5.475,4.4
573.1666666666666,5.275,4.4
574.1666666666666,5.375,4.4
575.1666666666666,5.525,3.7
576.1666666666666,5.300000000000001,3.7
577.1666666666666,5.325,3.7
578.1666666666666,5.4750000000000005,3.7
579.1666666666666,5.425000000000001,3.7
580.1666666666666,5.675000000000001,3.7
581.1666666666666,5.625,3.7
582.1666666666666,5.45,3.7
583.1666666666666,5.4,3.7
584.1666666666666,5.425,3.7
585.1666666666666,5.5,8.8
586.1666666666666,5.65,8.8
587.1666666666666,5.4,8.8
588.1666666666666,5.35,8.8
589.1666666666666,5.55,8.8
590.1666666666666,5.525,8.8
591.1666666666666,5.525,8.8
592.1666666666666,5.4,8.8
593.1666666666666,5.4750000000000005,8.8
594.1666666666666,5.575,8.8
595.1666666666666,5.275,5.6
596.1666666666666,5.3999999999999995,5.6
597.1666666666666,5.3999999999999995,5.6
598.1666666666666,5.375,5.6
599.1666666666666,5.375,5.6
600.1666666666666,5.5,5.6
601.1666666666666,5.525,5.6
602.1666666666666,5.325,5.6
603.1666666666666,5.625,5.6
604.1666666666666,5.325,5.6
605.1666666666666,5.300000000000001,11.9
606.1666666666666,5.35,11.9
607.1666666666666,5.449999999999999,11.9
608.1666666666666,5.425,11.9
609.1666666666666,5.5,11.9
610.1666666666666,5.699999999999999,11.9
611.1666666666666,5.5249999999999995,11.9
612.1666666666666,5.8,11.9
613.1666666666666,5.65,11.9
614.1666666666666,5.7,11.9
615.1666666666666,5.85,11.6
616.1666666666666,5.7250000000000005,11.6
617.1666666666666,5.925000000000001,11.6
618.1666666666666,5.925,11.6
619.1666666666666,6.0249999999999995,11.6
