minute_of_day,core_temperature,ambient_temperature
5.166666666666667,3.8249999999999997,10.7
6.166666666666667,3.9,10.7
7.166666666666667,3.8499999999999996,10.7
8.166666666666666,3.9,10.7
9.166666666666666,3.9,4.0
10.166666666666666,3.9,4.0
11.166666666666666,3.875,4.0
12.166666666666666,3.9,4.0
13.166666666666666,3.875,4.0
14.166666666666666,3.8499999999999996,4.0
15.166666666666666,3.9,11.8
16.166666666666668,3.9,11.8
17.166666666666668,3.8499999999999996,11.8
18.166666666666668,3.8499999999999996,11.8
19.166666666666668,3.9,4.0
20.166666666666668,3.85,4.0
21.166666666666668,3.8249999999999997,4.0
22.166666666666668,3.9,4.0
23.166666666666668,3.875,4.0
24.166666666666668,3.85,4.0
25.166666666666668,3.9,12.9
26.166666666666668,3.8499999999999996,12.9
27.166666666666668,3.8499999999999996,12.9
28.166666666666668,3.875,12.9
29.166666666666668,3.85,4.0
30.166666666666668,3.8499999999999996,4.0
31.166666666666668,3.9,4.0
32.166666666666664,3.925,4.0
33.166666666666664,3.975,4.0
34.166666666666664,3.875,4.0
35.166666666666664,3.9499999999999997,14.8
36.166666666666664,3.95,14.8
37.166666666666664,3.975,14.8
38.166666666666664,4.025,14.8
39.166666666666664,4.025,4.2
40.166666666666664,4.075,4.2
41.166666666666664,4.075,4.2
42.166666666666664,4.1000000000000005,4.2
43.166666666666664,4.225,4.2
44.166666666666664,4.25,4.2
45.166666666666664,4.2,8.9
46.166666666666664,4.3,8.9
47.166666666666664,4.324999999999999,8.9
48.166666666666664,4.300000000000001,8.9
49.166666666666664,4.325,7.5
50.166666666666664,4.375,7.5
51.166666666666664,4.449999999999999,7.5
52.166666666666664,4.425000000000001,7.5
53.166666666666664,4.5,7.5
54.166666666666664,4.55,7.5
55.166666666666664,4.6,5.9
56.166666666666664,4.65,5.9
57.166666666666664,4.7,5.9
58.166666666666664,4.725,5.9
59.166666666666664,4.7250000000000005,10.6
60.166666666666664,4.75,10.6
61.166666666666664,4.825,10.6
62.166666666666664,4.85,10.6
63.166666666666664,4.975,10.6
64.16666666666667,5.025,10.6
65.16666666666667,5.075,6.2
66.16666666666667,5.075,6.2
67.16666666666667,5.2,6.2
68.16666666666667,5.25,6.2
69.16666666666667,5.25,13.0
70.16666666666667,5.35,13.0
71.16666666666667,5.425,13.0
72.16666666666667,5.475,13.0
73.16666666666667,5.5249999999999995,13.0
74.16666666666667,5.575,13.0
75.16666666666667,5.625,5.7
76.16666666666667,5.750000000000001,5.7
77.16666666666667,5.799999999999999,5.7
78.16666666666667,5.875,5.7
79.16666666666667,5.925000000000001,15.3
80.16666666666667,5.875,15.3
81.16666666666667,5.925,15.3
82.16666666666667,6.0,15.3
83.16666666666667,6.075,15.3
84.16666666666667,6.050000000000001,15.3
85.16666666666667,6.175,11.4
86.16666666666667,6.2250000000000005,11.4
87.16666666666667,6.2250000000000005,11.4
88.16666666666667,6.25,11.4
89.16666666666667,6.3,17.1
90.16666666666667,6.325,17.1
91.16666666666667,6.375,17.1
92.16666666666667,6.449999999999999,17.1
93.16666666666667,6.45,17.1
94.16666666666667,6.475,17.1
95.16666666666667,6.574999999999999,12.6
96.16666666666667,6.525,12.6
97.16666666666667,6.525,12.6
98.16666666666667,6.525,12.6
99.16666666666667,6.625,18.3
100.16666666666667,6.65,18.3
101.16666666666667,6.675000000000001,18.3
102.16666666666667,6.625,18.3
103.16666666666667,6.7749999999999995,18.3
104.16666666666667,6.75,18.3
105.16666666666667,6.7749999999999995,13.7
106.16666666666667,6.7749999999999995,13.7
107.16666666666667,6.8,13.7
108.16666666666667,6.8,13.7
109.16666666666667,6.725,14.1
110.16666666666667,6.75,14.1
111.16666666666667,6.725,14.1
112.16666666666667,6.725,14.1
113.16666666666667,6.800000000000001,14.1
114.16666666666667,6.825,14.1
115.16666666666667,6.874999999999999,14.8
116.16666666666667,6.925,14.8
117.16666666666667,6.874999999999999,14.8
118.16666666666667,6.8999999999999995,14.8
119.16666666666667,6.8500000000000005,8.8
120.16666666666667,6.8500000000000005,8.8
121.16666666666667,6.95,8.8
122.16666666666667,6.9,8.8
123.16666666666667,6.8999999999999995,8.8
124.16666666666667,6.95,8.8
125.16666666666667,6.95,14.6
126.16666666666667,6.9750000000000005,14.6
127.16666666666667,6.95,14.6
128.16666666666666,7.025,14.6
129.16666666666666,7.05,6.0
130.16666666666666,7.025,6.0
