Model,k_per_minute,thermal_time_constant_minutes,ambient_offset_C,OneStep_R2,OneStep_RMSE,OneStep_MAE,OneStep_Pearson_r,Recursive_R2,Recursive_RMSE,Recursive_MAE,Recursive_Pearson_r
Pure Newton Cooling,0.004639621768712478,215.53481077779875,0.0,0.975526034478167,0.12550689145995383,0.09882925749655194,0.9880038578124477,0.7520547451880013,0.39947840002933377,0.335062307021261,0.9002954671717356
Newton Cooling + Ambient Offset,0.004641347163351975,215.45468692710358,-0.008962204919948175,0.9755261068405803,0.12550670591608998,0.09883011953832702,0.9880037934911332,0.7523465157493351,0.3992432869461246,0.33492118477014465,0.9001602443574144
