Model,k_per_minute,thermal_time_constant_minutes,ambient_offset_C,OneStep_R2,OneStep_RMSE,OneStep_MAE,OneStep_Pearson_r,Recursive_R2,Recursive_RMSE,Recursive_MAE,Recursive_Pearson_r
Pure Newton Cooling,0.003051847191892795,327.67040324184353,0.0,0.5213973329505646,1.9587735231889354,0.23257743234164444,0.7705834656683891,-3.6887497807442973,6.130913605044959,2.022466455003756,-0.9402854649635384
Newton Cooling + Ambient Offset,0.0030526392453818227,327.58538419266125,-0.018144740986123727,0.5221493136619422,1.957234105376803,0.23243389768385042,0.7708917933563042,-3.681205730337454,6.1259793962587565,2.02145423893103,-0.9403613490136653
