Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.5780361015790054,1.9044867676812947,1.5265010022060677,0.7738655632250956
Ridge Regression,0.5764826760048909,1.9079891533272106,1.5316906950413194,0.7731880909624266
Random Forest,0.7368866666406937,1.503875000227029,1.1551893628096905,0.8789555470318492
Gradient Boosting,0.8265210161356134,1.2211351890923008,0.8361118807364467,0.9198898227488914
KNN Regression,0.614714200186858,1.819834160292564,1.380241935483871,0.7966636780191261
SVR,0.5849198672398355,1.8888883368685077,1.3552059061572939,0.7904849971285367
