Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.36286464126986695,2.374071634821638,1.9484308404620387,0.6032849935026381
Ridge Regression,0.3624218312416452,2.3748964831991195,1.9525119633905763,0.6029567345933319
Random Forest,0.6465833140553495,1.7681597103507822,1.3128088768704853,0.8105125278105725
Gradient Boosting,0.7213911567984257,1.5699123788194531,1.0551205981755734,0.8502206552350061
KNN Regression,0.5421852130350887,2.0124396865654117,1.6496825396825403,0.7602182314584639
SVR,0.47013593040452284,2.1650114660175417,1.643990321239525,0.712807462477535
