minute_of_day,Thermocouple TA 30C,Wireless Temperature Sensor 1 lag 10min,Wireless Temperature Sensor 1 lag 20min,Wireless Temperature Sensor 1 lag 30min
34.166666666666664,3.875,13.0,11.0,8.6
35.166666666666664,3.9499999999999997,12.9,11.8,10.7
36.166666666666664,3.95,12.9,11.8,10.7
38.166666666666664,4.025,4.0,4.0,4.0
39.166666666666664,4.025,4.0,4.0,4.0
40.166666666666664,4.075,4.0,4.0,4.0
44.166666666666664,4.25,12.5,13.0,11.0
45.166666666666664,4.2,14.8,12.9,11.8
46.166666666666664,4.3,14.8,12.9,11.8
48.166666666666664,4.300000000000001,4.2,4.0,4.0
49.166666666666664,4.325,4.2,4.0,4.0
50.166666666666664,4.375,4.2,4.0,4.0
54.166666666666664,4.55,16.1,12.5,13.0
55.166666666666664,4.6,8.9,14.8,12.9
56.166666666666664,4.65,8.9,14.8,12.9
58.166666666666664,4.725,7.5,4.2,4.0
59.166666666666664,4.7250000000000005,7.5,4.2,4.0
60.166666666666664,4.75,7.5,4.2,4.0
64.16666666666667,5.025,15.5,16.1,12.5
65.16666666666667,5.075,5.9,8.9,14.8
66.16666666666667,5.075,5.9,8.9,14.8
68.16666666666667,5.25,10.6,7.5,4.2
69.16666666666667,5.25,10.6,7.5,4.2
70.16666666666667,5.35,10.6,7.5,4.2
74.16666666666667,5.575,9.8,15.5,16.1
75.16666666666667,5.625,6.2,5.9,8.9
76.16666666666667,5.750000000000001,6.2,5.9,8.9
78.16666666666667,5.875,13.0,10.6,7.5
79.16666666666667,5.925000000000001,13.0,10.6,7.5
80.16666666666667,5.875,13.0,10.6,7.5
84.16666666666667,6.050000000000001,9.4,9.8,15.5
85.16666666666667,6.175,5.7,6.2,5.9
86.16666666666667,6.2250000000000005,5.7,6.2,5.9
88.16666666666667,6.25,15.3,13.0,10.6
89.16666666666667,6.3,15.3,13.0,10.6
90.16666666666667,6.325,15.3,13.0,10.6
94.16666666666667,6.475,5.9,9.4,9.8
95.16666666666667,6.574999999999999,11.4,5.7,6.2
96.16666666666667,6.525,11.4,5.7,6.2
98.16666666666667,6.525,17.1,15.3,13.0
99.16666666666667,6.625,17.1,15.3,13.0
100.16666666666667,6.65,17.1,15.3,13.0
104.16666666666667,6.75,10.4,5.9,9.4
105.16666666666667,6.7749999999999995,12.6,11.4,5.7
106.16666666666667,6.7749999999999995,12.6,11.4,5.7
108.16666666666667,6.8,18.3,17.1,15.3
109.16666666666667,6.725,18.3,17.1,15.3
110.16666666666667,6.75,18.3,17.1,15.3
114.16666666666667,6.825,13.0,10.4,5.9
115.16666666666667,6.874999999999999,13.7,12.6,11.4
116.16666666666667,6.925,13.7,12.6,11.4
118.16666666666667,6.8999999999999995,14.1,18.3,17.1
119.16666666666667,6.8500000000000005,14.1,18.3,17.1
120.16666666666667,6.8500000000000005,14.1,18.3,17.1
124.16666666666667,6.95,14.9,13.0,10.4
125.16666666666667,6.95,14.8,13.7,12.6
126.16666666666667,6.9750000000000005,14.8,13.7,12.6
128.16666666666666,7.025,8.8,14.1,18.3
129.16666666666666,7.05,8.8,14.1,18.3
130.16666666666666,7.025,8.8,14.1,18.3
134.16666666666666,7.2,16.9,14.9,13.0
135.16666666666666,7.175,14.6,14.8,13.7
136.16666666666666,7.125,14.6,14.8,13.7
138.16666666666666,7.15,6.0,8.8,14.1
139.16666666666666,7.199999999999999,6.0,8.8,14.1
140.16666666666666,7.25,6.0,8.8,14.1
144.16666666666666,7.375,11.1,16.9,14.9
145.16666666666666,7.425,18.3,14.6,14.8
146.16666666666666,7.575,18.3,14.6,14.8
148.16666666666666,7.6,9.1,6.0,8.8
149.16666666666666,7.6,9.1,6.0,8.8
150.16666666666666,7.65,9.1,6.0,8.8
154.16666666666666,7.825000000000001,7.9,11.1,16.9
155.16666666666666,7.925000000000001,17.7,18.3,14.6
156.16666666666666,7.85,17.7,18.3,14.6
158.16666666666666,8.025,12.7,9.1,6.0
159.16666666666666,8.1,12.7,9.1,6.0
160.16666666666666,8.15,12.7,9.1,6.0
164.16666666666666,8.375,7.1,7.9,11.1
165.16666666666666,8.475,12.2,17.7,18.3
166.16666666666666,8.450000000000001,12.2,17.7,18.3
168.16666666666666,8.625,14.9,12.7,9.1
169.16666666666666,8.6,14.9,12.7,9.1
170.16666666666666,8.6,14.9,12.7,9.1
174.16666666666666,8.8,10.5,7.1,7.9
175.16666666666666,8.799999999999999,7.7,12.2,17.7
176.16666666666666,8.875,7.7,12.2,17.7
178.16666666666666,8.925,17.4,14.9,12.7
179.16666666666666,8.95,17.4,14.9,12.7
180.16666666666666,9.075,17.4,14.9,12.7
184.16666666666666,9.15,12.7,10.5,7.1
185.16666666666666,9.1,6.6,7.7,12.2
186.16666666666666,9.274999999999999,6.6,7.7,12.2
188.16666666666666,9.274999999999999,19.5,17.4,14.9
