Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.670817639442918,1.8546008168527295,1.3554128265486551,0.8322757835423118
Ridge Regression,0.6730680875908988,1.8482504753914166,1.3509305068117072,0.8327494730959769
Random Forest,0.5882199178029288,2.0742678548964326,1.5172054450757573,0.7898591223213677
Gradient Boosting,0.36556119578199664,2.57470240136076,1.8740249167358733,0.7106930899212784
KNN Regression,0.610083742074411,2.018449281007576,1.5056249999999998,0.7940635535185772
SVR,0.6348077941673131,1.9534078070628997,1.394538069757926,0.8171050964760032
