Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.7166576302233816,2.102557897392558,1.715028831416429,0.8565314146999928
Ridge Regression,0.7154969475622552,2.1068599514575093,1.7187141857106492,0.8566131739210672
Random Forest,0.6352557888126174,2.385538372079643,1.9948085921601553,0.8043173447917872
Gradient Boosting,0.5427890966118143,2.670856114040205,2.245713609564028,0.7428590488783369
KNN Regression,0.6442469111074947,2.3559525674342425,1.9893750000000003,0.8248148660217014
SVR,0.6911010110015857,2.1953332044468645,1.8079023309623676,0.845861322507792
