minute_of_day,IdentiCool Temperature Sensor 1,Thermocouple TA 30C,Wireless Temperature Sensor 1
5.0,6.9,3.8249999999999997,10.7
5.0,8.1,3.8249999999999997,10.7
9.0,3.9,3.9,4.0
15.0,8.6,3.9,11.8
15.0,9.1,3.9,11.8
19.0,3.9,3.9,4.0
25.0,9.9,3.9,12.9
25.0,10.0,3.9,12.9
29.0,3.9,3.85,4.0
35.0,9.8,3.9499999999999997,14.8
35.0,11.0,3.9499999999999997,14.8
39.0,4.0,4.025,4.2
45.0,12.3,4.2,8.9
45.0,8.2,4.2,8.9
49.0,5.1,4.325,7.5
55.0,11.8,4.6,5.9
55.0,7.0,4.6,5.9
59.0,6.6,4.7250000000000005,10.6
65.0,10.1,5.075,6.2
65.0,7.0,5.075,6.2
69.0,8.1,5.25,13.0
75.0,8.4,5.625,5.7
75.0,8.7,5.625,5.7
79.0,9.4,5.925000000000001,15.3
85.0,9.0,6.175,11.4
85.0,9.6,6.175,11.4
89.0,10.5,6.3,17.1
95.0,10.4,6.574999999999999,12.6
95.0,10.6,6.574999999999999,12.6
99.0,11.4,6.625,18.3
105.0,11.8,6.7749999999999995,13.7
105.0,11.4,6.7749999999999995,13.7
109.0,10.7,6.725,14.1
115.0,12.3,6.874999999999999,14.8
115.0,12.8,6.874999999999999,14.8
119.0,9.6,6.8500000000000005,8.8
125.0,14.0,6.95,14.6
125.0,12.2,6.95,14.6
129.0,8.7,7.05,6.0
135.0,10.8,7.175,18.3
135.0,15.2,7.175,18.3
139.0,9.1,7.199999999999999,9.1
145.0,14.8,7.425,17.7
145.0,9.4,7.425,17.7
149.0,10.3,7.6,12.7
155.0,12.9,7.925000000000001,12.2
155.0,8.7,7.925000000000001,12.2
159.0,11.4,8.1,14.9
165.0,10.9,8.475,7.7
165.0,10.1,8.475,7.7
169.0,12.5,8.6,17.4
175.0,10.9,8.799999999999999,6.6
175.0,11.2,8.799999999999999,6.6
179.0,13.6,8.95,19.5
185.0,12.1,9.1,11.5
185.0,12.3,9.1,11.5
189.0,14.4,9.274999999999999,20.9
195.0,13.5,9.375,14.4
195.0,13.0,9.375,14.4
199.0,13.8,9.35,16.6
205.0,14.6,9.45,16.3
205.0,13.9,9.45,16.3
209.0,12.7,9.425,11.3
215.0,13.9,9.425,18.4
215.0,15.8,9.425,18.4
219.0,11.3,9.5,7.1
225.0,17.0,9.575,12.8
225.0,12.5,9.575,12.8
229.0,11.4,9.6,10.1
235.0,16.6,9.75,9.6
235.0,11.1,9.75,9.6
239.0,12.4,9.975000000000001,14.2
245.0,14.6,10.1,13.8
245.0,10.5,10.1,13.8
249.0,13.5,10.3,16.4
255.0,11.8,10.6,12.1
255.0,12.5,10.6,12.1
259.0,14.6,10.774999999999999,18.9
265.0,12.9,11.024999999999999,7.8
265.0,12.4,11.024999999999999,7.8
269.0,15.6,11.15,21.2
275.0,13.8,11.375,15.5
275.0,13.7,11.375,15.5
279.0,16.4,11.375,22.8
285.0,14.9,11.45,15.7
285.0,14.6,11.45,15.7
289.0,15.9,11.475000000000001,18.6
295.0,16.0,11.4,18.2
295.0,15.5,11.4,18.2
299.0,14.7,11.424999999999999,13.2
305.0,15.6,11.399999999999999,17.9
305.0,17.2,11.399999999999999,17.9
309.0,13.4,11.35,9.1
315.0,18.4,11.525,14.4
315.0,14.2,11.525,14.4
319.0,13.4,11.675,12.0
325.0,12.9,11.700000000000001,11.1
325.0,18.0,11.700000000000001,11.1
329.0,14.4,11.725000000000001,16.0
335.0,16.1,11.9,15.4
339.0,15.5,12.1,18.2
345.0,10.1,12.350000000000001,10.7
345.0,14.1,12.350000000000001,10.7
349.0,16.5,12.575,20.7
355.0,9.3,12.925,6.1
355.0,13.8,12.925,6.1
359.0,17.4,13.024999999999999,22.9
365.0,15.2,13.2,14.2
369.0,18.2,13.075,24.4
375.0,16.3,13.200000000000001,11.4
375.0,10.5,13.200000000000001,11.4
379.0,17.7,13.275,20.1
385.0,11.9,13.175,13.8
385.0,17.4,13.175,13.8
389.0,16.4,13.200000000000001,14.5
395.0,12.1,13.175,21.3
395.0,18.6,13.175,21.3
395.0,18.6,13.175,21.3
399.0,14.9,13.125,10.2
405.0,19.8,13.175,22.3
409.0,14.9,13.175,13.1
419.0,15.9,13.375,17.2
429.0,16.9,13.875,19.5
439.0,17.9,14.25,21.9
449.0,18.9,14.575,24.1
1435.0,5.0,3.8249999999999997,4.9
1435.0,7.0,3.8249999999999997,4.9
