Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.4414565186852356,4.076140714049888,3.579780610162413,0.694094389519365
Ridge Regression,0.4398377295899554,4.082043242985527,3.5841024883981047,0.6940943895193652
Random Forest,0.3235244621717145,4.4858704020887386,3.8561021460888663,0.5771464533409509
Gradient Boosting,0.10870785624057366,5.149092734540104,4.307533212734758,0.45967893422860323
KNN Regression,0.28845971215463817,4.600662995699642,3.995,0.5824755504475332
SVR,0.48420410871649644,3.9170544933053932,3.384617773459721,0.7214034131606555
