minute_of_day,Wireless Temperature Sensor 2,Thermocouple TA 37C
565.0,4.9,5.074999999999999
565.0,4.4,5.074999999999999
575.0,5.7,5.525
575.0,3.7,5.525
585.0,3.7,5.5
585.0,8.8,5.5
595.0,10.7,5.275
595.0,5.6,5.275
605.0,9.5,5.300000000000001
605.0,11.9,5.300000000000001
615.0,13.1,5.85
615.0,11.6,5.85
625.0,13.8,6.025
625.0,14.4,6.025
635.0,13.5,6.800000000000001
635.0,15.4,6.800000000000001
645.0,16.4,7.175000000000001
645.0,9.7,7.175000000000001
655.0,6.6,7.950000000000001
655.0,14.5,7.950000000000001
665.0,7.9,8.35
665.0,7.2,8.35
669.0,3.8,8.174999999999999
675.0,4.1,8.325
675.0,10.6,8.325
679.0,3.8,8.15
685.0,5.8,8.2
685.0,12.6,8.2
689.0,3.8,8.175
695.0,10.8,8.075000000000001
695.0,13.7,8.075000000000001
699.0,3.8,8.1
705.0,13.4,8.175
705.0,15.1,8.175
709.0,6.9,8.525
715.0,16.4,8.549999999999999
715.0,15.7,8.549999999999999
719.0,10.6,8.825000000000001
725.0,15.6,8.950000000000001
725.0,17.3,8.950000000000001
729.0,13.1,9.35
735.0,18.4,9.7
735.0,11.8,9.7
739.0,15.6,9.75
745.0,16.5,10.0
745.0,8.3,10.0
749.0,17.3,10.124999999999998
755.0,9.9,10.275
755.0,8.0,10.275
759.0,18.7,10.35
765.0,11.6,10.475000000000001
765.0,5.7,10.475000000000001
769.0,14.7,10.25
775.0,13.9,10.1
775.0,5.8,10.1
779.0,8.7,10.200000000000001
785.0,11.6,10.225
785.0,15.1,10.225
789.0,5.1,9.975000000000001
795.0,16.5,10.2
795.0,14.6,10.2
799.0,8.5,10.05
805.0,18.0,10.275
805.0,17.1,10.275
809.0,12.8,10.5
815.0,17.2,10.875
815.0,18.7,10.875
819.0,15.2,11.15
825.0,19.9,11.175
825.0,13.4,11.175
829.0,17.9,11.600000000000001
835.0,18.2,11.95
835.0,9.9,11.95
839.0,19.8,11.975
845.0,9.6,12.099999999999998
845.0,11.6,12.099999999999998
849.0,21.4,12.274999999999999
855.0,7.3,12.274999999999999
855.0,13.3,12.274999999999999
859.0,17.4,12.0
865.0,7.2,12.100000000000001
865.0,15.4,12.100000000000001
869.0,11.3,12.05
875.0,16.6,11.725
875.0,13.1,11.725
879.0,6.5,11.924999999999999
885.0,18.1,12.0
885.0,16.0,12.0
889.0,9.2,12.024999999999999
895.0,19.6,12.2
895.0,18.5,12.2
899.0,14.1,12.35
905.0,20.1,12.65
905.0,18.7,12.65
909.0,16.7,12.575
915.0,14.9,13.075000000000001
915.0,21.3,13.075000000000001
919.0,19.5,13.25
925.0,11.5,13.35
925.0,19.7,13.35
929.0,21.6,13.6
935.0,11.2,13.825000000000001
935.0,13.1,13.825000000000001
939.0,23.2,13.899999999999999
945.0,14.9,13.774999999999999
945.0,8.6,13.774999999999999
949.0,19.3,13.874999999999998
955.0,16.9,13.75
955.0,8.7,13.75
959.0,13.1,13.4
965.0,18.3,13.525
965.0,14.6,13.525
969.0,8.3,13.275
975.0,20.1,13.325
975.0,17.6,13.325
979.0,11.5,13.425
985.0,21.5,13.75
985.0,20.2,13.75
989.0,16.2,13.875
995.0,21.9,14.25
999.0,18.6,14.225000000000001
1005.0,23.2,14.649999999999999
1009.0,21.4,14.875
1019.0,23.5,15.0
1029.0,25.1,15.674999999999999
1039.0,21.2,15.375
