Model,R2,RMSE,MAE,Pearson_r
Linear Regression,0.03869154768697103,4.9580360647124655,4.227698946463578,0.33564957717752186
Ridge Regression,0.04204448870049804,4.94938196235424,4.223620569223403,0.3356495771775218
Random Forest,-0.33346142303297,5.839404081932479,4.926530909302231,0.12447237411547
Gradient Boosting,-0.748256904111537,6.686224076282469,5.540502631436019,-0.005071693957044267
KNN Regression,-0.18696926971072236,5.509320511642066,4.573124999999999,0.2412376975060484
SVR,0.009561137703443912,5.032596802906747,4.246931214189703,0.3134369955174244
